iter	Passed	Remaining
434	1532	5513
435	1535	5509
436	1539	5506
437	1543	5503
438	1546	5499
439	1550	5495
440	1553	5491
441	1556	5487
442	1560	5484
443	1564	5481
444	1567	5478
445	1572	5477
446	1575	5474
447	1579	5471
448	1583	5468
449	1586	5464
450	1590	5461
451	1593	5456
452	1596	5453
453	1600	5451
454	1604	5446
455	1607	5443
456	1611	5440
457	1615	5438
458	1618	5434
459	1622	5430
460	1626	5428
461	1629	5425
462	1633	5422
463	1637	5419
464	1640	5415
465	1644	5412
466	1647	5408
467	1651	5405
468	1654	5401
469	1658	5397
470	1661	5394
471	1665	5390
472	1668	5388
473	1672	5385
474	1676	5382
475	1680	5379
476	1683	5375
477	1687	5372
478	1690	5368
479	1693	5363
480	1696	5358
481	1700	5354
482	1703	5351
483	1707	5348
484	1711	5346
485	1715	5344
486	1719	5342
487	1722	5338
488	1726	5334
489	1730	5332
490	1734	5331
491	1738	5327
492	1741	5324
493	1746	5323
494	1750	5320
495	1753	5317
496	1757	5315
497	1760	5310
498	1764	5307
499	1768	5305
500	1771	5301
501	1775	5297
502	1778	5294
503	1782	5291
504	1786	5288
505	1790	5285
506	1794	5283
507	1798	5281
508	1802	5279
509	1806	5276
510	1809	5274
511	1813	5271
512	1818	5269
513	1821	5266
514	1825	5263
515	1828	5259
516	1832	5256
517	1835	5252
518	1839	5248
519	1843	5245
520	1846	5242
521	1850	5239
522	1853	5234
523	1857	5232
524	1861	5228
525	1865	5227
526	1868	5223
527	1872	5219
528	1876	5218
529	1880	5214
530	1883	5211
531	1887	5209
532	1891	5205
533	1895	5203
534	1899	5200
535	1902	5195
536	1905	5192
537	1909	5187
538	1912	5184
539	1916	5180
540	1920	5178
541	1924	5176
542	1927	5172
543	1931	5169
544	1935	5166
545	1939	5165
546	1943	5161
547	1947	5159
548	1951	5156
549	1954	5153
550	1958	5150
551	1963	5150
552	1967	5148
553	1971	5144
554	1974	5141
555	1978	5138
556	1982	5135
557	1985	5132
558	1989	5128
559	1993	5125
560	1996	5121
561	2000	5117
562	2003	5112
563	2007	5110
564	2011	5107
565	2014	5103
566	2017	5099
567	2021	5095
568	2024	5092
569	2028	5088
570	2031	5084
571	2035	5080
572	2038	5076
573	2042	5073
574	2045	5070
575	2049	5067
576	2052	5062
577	2056	5059
578	2060	5055
579	2064	5053
580	2068	5051
581	2071	5047
582	2075	5044
583	2078	5040
584	2082	5035
585	2085	5031
586	2088	5027
587	2091	5023
588	2095	5020
589	2098	5016
590	2102	5011
591	2105	5008
592	2109	5005
593	2112	5001
594	2116	4998
595	2120	4994
596	2123	4991
597	2127	4987
598	2130	4983
599	2134	4979
600	2137	4976
601	2141	4972
602	2145	4970
603	2149	4968
604	2152	4963
605	2156	4960
606	2159	4956
607	2163	4952
608	2166	4948
609	2169	4944
610	2173	4941
611	2177	4937
612	2180	4934
613	2184	4931
614	2188	4928
615	2192	4925
616	2196	4922
617	2199	4919
618	2202	4914
619	2206	4911
620	2210	4907
621	2213	4903
622	2216	4898
623	2219	4894
624	2223	4890
625	2226	4887
626	2230	4883
627	2233	4879
628	2236	4874
629	2239	4870
630	2243	4867
631	2247	4865
632	2250	4861
633	2254	4857
634	2257	4853
635	2261	4849
636	2264	4846
637	2268	4843
638	2271	4838
639	2275	4835
640	2279	4832
641	2282	4827
642	2285	4823
643	2289	4819
644	2292	4815
645	2295	4812
646	2299	4807
647	2302	4803
648	2306	4800
649	2309	4797
